,complaint,coded_month,date_occur,count,crime,district,description,ileads_address,ileads_street,neighborhood,location_name,location_comment,cad_address,cad_street,x_coord,y_coord,crimeCatNum,crimeCatName,violent,property,dateOcc,timeOcc,weekday,dayNight,missing,,Type of Larceny,
46,19-041097,2019-08,8/21/2019 19:00,1,64701,5,LARCENY-FROM MTR VEH UNDER $500,4456,MCPHERSON AVE,38,NA,NA,4456,MCPHERSON,890115.8,1023982,6,Larceny,FALSE,TRUE,8/21/2019,14:00:00,Wed,Day,FALSE,,,
47,19-041210,2019-08,8/22/2019 11:38,1,63701,5,LARCENY-SHOPLIFT UNDER $500,4061,LINDELL BLVD,38,NA,NA,4061,LINDELL,892936.5,1022037,6,Larceny,FALSE,TRUE,8/22/2019,6:38:00,Thu,Day,FALSE,,,
48,19-042158,2019-08,8/23/2019 12:00,1,65701,5,LARCENY-MTR VEH PARTS UNDER $500,1,CHILDRENS PL,38,CHILDREN S HOSPITAL,NA,1,CHILDRENS,887975.4,1020896,6,Larceny,FALSE,TRUE,8/23/2019,7:00:00,Fri,Day,FALSE,,,
49,19-041970,2019-08,8/23/2019 17:00,1,65701,5,LARCENY-MTR VEH PARTS UNDER $500,0,N EUCLID AVE / MARYLAND AVE,38,NA,NA,NA,NA,888340.1,1023682,6,Larceny,FALSE,TRUE,8/23/2019,12:00:00,Fri,Day,FALSE,,,
50,19-042638,2019-08,8/23/2019 21:00,1,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",0,N KINGSHIGHWAY BLVD / LINDELL,38,NA,NA,NA,NA,887402,1023458,6,Larceny,FALSE,TRUE,8/23/2019,16:00:00,Fri,Day,FALSE,,,
51,19-042111,2019-08,8/24/2019 13:00,1,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4371,WEST PINE BLVD,38,NA,NA,4371,WEST PINE,890563.6,1022011,6,Larceny,FALSE,TRUE,8/24/2019,8:00:00,Sat,Day,FALSE,,,
52,19-042183,2019-08,8/24/2019 14:38,1,63701,5,LARCENY-SHOPLIFT UNDER $500,36,MARYLAND PLZ,38,AG JEANS,NA,36,MARYLAND,888022.6,1023766,6,Larceny,FALSE,TRUE,8/24/2019,9:38:00,Sat,Day,FALSE,,,
53,19-041672,2019-08,8/25/2019 2:17,1,63701,5,LARCENY-SHOPLIFT UNDER $500,4251,LINDELL BLVD,38,NA,NA,4251,LINDELL,891587.9,1022423,6,Larceny,FALSE,TRUE,8/25/2019,21:17:00,Sun,Night,FALSE,,,
54,19-041851,2019-08,8/25/2019 19:00,1,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3965,LACLEDE AVE,38,NA,NA,3965,LACLEDE,893334.4,1020880,6,Larceny,FALSE,TRUE,8/25/2019,14:00:00,Sun,Day,FALSE,,,
55,19-041837,2019-08,8/26/2019 3:10,1,63701,5,LARCENY-SHOPLIFT UNDER $500,4218,LINDELL BLVD,38,NA,NA,4218,LINDELL,891808.7,1022061,6,Larceny,FALSE,TRUE,8/26/2019,22:10:00,Mon,Night,FALSE,,,
56,19-042175,2019-08,8/26/2019 8:20,1,64501,5,"LARCENY-FROM MTR VEH OVER $25,000",0,GRAND DR / N KINGSHIGHWAY BLVD,38,NA,NA,NA,NA,887401.9,1023459,6,Larceny,FALSE,TRUE,8/26/2019,3:20:00,Mon,Day,FALSE,,,
57,19-041950,2019-08,8/26/2019 9:50,1,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4605,OLIVE ST,38,NA,NA,NA,NA,889588.8,1025368,6,Larceny,FALSE,TRUE,8/26/2019,4:50:00,Mon,Day,FALSE,,,
58,19-041949,2019-08,8/26/2019 13:46,1,63701,5,LARCENY-SHOPLIFT UNDER $500,26,MARYLAND PLZ,38,LULULEMON,NA,26,MARYLAND,888098.3,1023746,6,Larceny,FALSE,TRUE,8/26/2019,8:46:00,Mon,Day,FALSE,,,
59,19-042038,2019-08,8/26/2019 14:00,1,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",4021,LINDELL BLVD,38,NA,NA,NA,NA,893357.2,1021968,6,Larceny,FALSE,TRUE,8/26/2019,9:00:00,Mon,Day,FALSE,,,
60,19-042155,2019-08,8/26/2019 20:00,1,65701,5,LARCENY-MTR VEH PARTS UNDER $500,4933,MCPHERSON AVE,38,NA,NA,4933,MCPHERSON,888212.5,1025308,6,Larceny,FALSE,TRUE,8/26/2019,15:00:00,Mon,Day,FALSE,,,
61,19-042128,2019-08,8/27/2019 8:58,1,64701,5,LARCENY-FROM MTR VEH UNDER $500,4205,LACLEDE AVE,38,NA,NA,4205,LACLEDE,891816,1021270,6,Larceny,FALSE,TRUE,8/27/2019,3:58:00,Tue,Day,FALSE,,,
62,19-042410,2019-08,8/27/2019 9:15,1,64701,5,LARCENY-FROM MTR VEH UNDER $500,0,MARYLAND PLZ / YORK AVE,38,NA,NA,NA,NA,888098.3,1023746,6,Larceny,FALSE,TRUE,8/27/2019,4:15:00,Tue,Day,FALSE,,,
63,19-042250,2019-08,8/27/2019 14:00,1,69702,5,LARCENY-ALL OTHER UNDER $500,4353,WESTMINSTER PL,38,NA,NA,4353,WESTMINSTER,891437.6,1023944,6,Larceny,FALSE,TRUE,8/27/2019,9:00:00,Tue,Day,FALSE,,,
64,19-042482,2019-08,8/28/2019 14:00,1,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",400,S KINGSHIGHWAY BLVD,38,NA,NA,400,KINGSHIGHWAY,887074.8,1020998,6,Larceny,FALSE,TRUE,8/28/2019,9:00:00,Wed,Day,FALSE,,,
65,19-042601,2019-08,8/28/2019 17:00,1,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",4245,DUNCAN AVE,38,A-LOFT CORTEX,NA,4245,DUNCAN,891114,1020413,6,Larceny,FALSE,TRUE,8/28/2019,12:00:00,Wed,Day,FALSE,,,
66,19-042581,2019-08,8/28/2019 20:00,1,65701,5,LARCENY-MTR VEH PARTS UNDER $500,4153,WEST PINE BLVD,38,NA,NA,4153,WEST PINE,892177.2,1021729,6,Larceny,FALSE,TRUE,8/28/2019,15:00:00,Wed,Day,FALSE,,,
67,19-042592,2019-08,8/28/2019 22:00,1,66601,5,"LARCENY-BICYCLES $500 - $24,999",4101,LACLEDE AVE,38,NA,NA,4101,LACLEDE,892487.2,1021098,6,Larceny,FALSE,TRUE,8/28/2019,17:00:00,Wed,Day,FALSE,,,
68,19-042809,2019-08,8/29/2019 8:00,1,69602,5,"LARCENY-ALL OTHER $500 - $24,999",0,N NEWSTEAD AVE,38,NA,NA,14,NEWSTEAD,890124.8,1021572,6,Larceny,FALSE,TRUE,8/29/2019,3:00:00,Thu,Day,FALSE,,,
69,19-042633,2019-08,8/29/2019 10:00,1,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4168,WEST PINE BLVD,38,NA,NA,4167,WEST PINE,891952.3,1021483,6,Larceny,FALSE,TRUE,8/29/2019,5:00:00,Thu,Day,FALSE,,,
70,19-042803,2019-08,8/29/2019 14:00,1,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",4400,OLIVE ST,38,NA,NA,4400,OLIVE,890889,1024434,6,Larceny,FALSE,TRUE,8/29/2019,9:00:00,Thu,Day,FALSE,,,
71,19-043542,2019-08,8/29/2019 14:30,1,64701,5,LARCENY-FROM MTR VEH UNDER $500,4385,MARYLAND AVE,38,NA,NA,4385,MARYLAND,890770,1023230,6,Larceny,FALSE,TRUE,8/29/2019,9:30:00,Thu,Day,FALSE,,,
72,19-042843,2019-08,8/29/2019 16:57,1,67701,5,LARCENY-FROM BUILDING UNDER $500,4166,LINDELL BLVD,38,NA,NA,4166,LINDELL,892113.6,1021985,6,Larceny,FALSE,TRUE,8/29/2019,11:57:00,Thu,Day,FALSE,,,
73,19-042796,2019-08,8/29/2019 21:00,1,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",4531,MCPHERSON AVE,38,NA,NA,4531,MCPHERSON,889838.6,1024327,6,Larceny,FALSE,TRUE,8/29/2019,16:00:00,Thu,Day,FALSE,,,
74,19-042785,2019-08,8/30/2019 0:01,1,64701,5,LARCENY-FROM MTR VEH UNDER $500,4461,BARAT HALL DR,38,NA,NA,4461,BARAT HALL,889689.1,1023437,6,Larceny,FALSE,TRUE,8/30/2019,19:01:00,Fri,Night,FALSE,,,
75,19-042802,2019-08,8/30/2019 8:20,1,65701,5,LARCENY-MTR VEH PARTS UNDER $500,0,N KINGSHIGHWAY BLVD / WEST PIN,38,NA,NA,NA,NA,887329.6,1022870,6,Larceny,FALSE,TRUE,8/30/2019,3:20:00,Fri,Day,FALSE,,,
76,19-042880,2019-08,8/30/2019 18:05,1,63701,5,LARCENY-SHOPLIFT UNDER $500,3925,LINDELL BLVD,38,NA,NA,3925,LINDELL,894199,1021580,6,Larceny,FALSE,TRUE,8/30/2019,13:05:00,Fri,Day,FALSE,,,
